"customerID","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn"
"8966-SNIZF","Female","0","Yes","No",70,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",19.45,1303.5,"No"
"9003-CPATH","Male","0","No","No",42,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","No","Electronic check",79.9,3313.4,"No"
"0580-PIQHM","Female","0","Yes","Yes",41,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","Yes","One year","Yes","Bank transfer (automatic)",101.6,3930.55,"No"
"7322-OCWHC","Male","1","Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","Two year","Yes","Bank transfer (automatic)",93.05,6735.05,"No"
"5939-XAIXZ","Female","0","No","No",19,"Yes","Yes","DSL","No","No","Yes","No","No","No","Month-to-month","Yes","Mailed check",56.1,1033.9,"No"
"4486-EFAEB","Male","0","No","No",13,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Electronic check",20.4,251.65,"No"
"4612-THJBS","Female","1","No","No",56,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",104.75,5510.65,"Yes"
"4945-RVMTE","Female","0","No","No",28,"Yes","No","DSL","No","No","Yes","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",59.55,1646.45,"No"
"1194-SPVSP","Male","0","No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Bank transfer (automatic)",19.65,19.65,"No"
"1013-QCWAM","Female","1","Yes","No",66,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.8,6690.75,"No"
"1217-VASWC","Male","1","Yes","No",43,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",100.55,4304,"No"
"4248-QPAVC","Female","1","Yes","No",17,"Yes","Yes","Fiber optic","Yes","No","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",85.35,1463.45,"Yes"
"2200-DSAAL","Female","0","No","No",68,"Yes","Yes","DSL","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Electronic check",80.65,5330.2,"No"
"6504-VBLFL","Male","0","Yes","No",55,"Yes","No","DSL","Yes","Yes","Yes","No","No","No","Two year","No","Electronic check",58.6,3068.6,"No"
"2603-HVKCG","Male","0","No","No",31,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",101.4,3143.65,"No"
"7727-SHVZV","Female","0","No","No",9,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Bank transfer (automatic)",19.5,150.35,"No"
"1867-BDVFH","Male","0","Yes","Yes",11,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.35,834.2,"Yes"
"7625-XCQRH","Female","0","No","No",11,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",76.5,837.95,"Yes"
"0702-PGIBZ","Male","0","No","Yes",4,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",101.7,364.55,"Yes"
"2968-SSGAA","Female","0","No","No",10,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.6,1060.2,"Yes"
"9506-UXUSK","Male","0","No","No",13,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.15,931.75,"No"
"7696-CFTAT","Male","0","Yes","Yes",37,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",19.8,726.1,"No"
"1501-SGHBW","Male","0","No","No",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",45.85,81,"Yes"
"3030-YZADT","Male","0","No","No",9,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",44.95,431,"Yes"
"6131-IUNXN","Female","0","Yes","Yes",19,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.2,382.2,"No"
"1689-MRZQR","Male","0","Yes","Yes",34,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","No","Electronic check",78.3,2564.3,"Yes"
"6506-EYCNH","Female","0","Yes","Yes",28,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Bank transfer (automatic)",19.55,543.8,"No"
"9227-YBAXE","Female","0","Yes","Yes",65,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",82.5,5215.1,"No"
"2038-LLMLM","Female","0","No","No",48,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",103.85,4946.05,"No"
"9099-FTUHS","Female","0","No","No",23,"Yes","Yes","DSL","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",54.4,1249.25,"No"
"4635-EJYPD","Male","0","Yes","Yes",32,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",18.95,613.95,"No"
"3318-OSATS","Male","1","No","No",35,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.45,3474.05,"Yes"
"4312-KFRXN","Male","0","Yes","No",72,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",25.4,1710.9,"No"
"9780-FKVVF","Male","0","No","No",6,"Yes","No","DSL","Yes","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",59.15,336.7,"No"
"3108-PCCGG","Male","1","Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","No","Yes","Yes","Two year","No","Credit card (automatic)",84.45,5899.85,"No"
"4661-NJEUX","Male","0","No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",20.05,20.05,"No"
"8450-JOVAH","Male","0","Yes","Yes",2,"Yes","Yes","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",56.7,113.55,"Yes"
"8023-QHAIO","Female","1","Yes","No",56,"Yes","Yes","Fiber optic","No","No","No","Yes","No","No","Month-to-month","Yes","Bank transfer (automatic)",76.85,4275.75,"No"
"4250-ZBWLV","Male","0","No","No",68,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","No","Electronic check",108.45,7176.55,"Yes"
"8466-PZBLH","Male","0","Yes","Yes",67,"Yes","Yes","Fiber optic","Yes","No","No","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",104.6,6885.75,"No"
"3727-OWVYD","Male","0","No","No",35,"Yes","No","DSL","Yes","Yes","Yes","No","No","No","One year","No","Mailed check",61.2,2021.2,"No"
"7402-PWYJJ","Female","0","Yes","No",53,"Yes","Yes","Fiber optic","No","No","No","Yes","No","Yes","One year","Yes","Electronic check",91.15,4862.5,"No"
"0345-HKJVM","Female","0","No","No",6,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",89.3,577.6,"Yes"
"5522-NYKPB","Male","0","Yes","Yes",25,"Yes","No","Fiber optic","No","No","No","Yes","Yes","No","Month-to-month","No","Electronic check",85.9,2199.05,"No"
"5414-OFQCB","Male","0","No","No",57,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","No","Two year","Yes","Credit card (automatic)",90.45,5229.8,"No"
"5397-NSKQG","Male","0","Yes","Yes",67,"No","No phone service","DSL","Yes","No","No","No","Yes","Yes","Two year","No","Credit card (automatic)",50.9,3281.65,"No"
"2040-VZIKE","Female","0","Yes","No",49,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Mailed check",100.85,4847.35,"No"
"0404-SWRVG","Male","0","No","No",3,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.4,229.55,"Yes"
"6017-PPLPX","Male","0","Yes","Yes",20,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.45,1470.95,"Yes"
"0907-HQNTS","Female","1","Yes","No",70,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",113,7987.6,"No"
"5380-WJKOV","Male","0","No","No",34,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",106.35,3549.25,"Yes"
"9450-TRJUU","Male","0","No","No",35,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","No","Electronic check",83.15,2848.45,"No"
"2640-PMGFL","Male","0","No","Yes",27,"Yes","Yes","Fiber optic","No","No","No","Yes","No","No","Month-to-month","Yes","Electronic check",79.5,2180.55,"Yes"
"5445-GLVOT","Female","0","No","No",22,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",49.8,1049.05,"No"
"3982-JGSFD","Male","0","No","No",36,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Credit card (automatic)",20.35,695.85,"No"
"7854-EDSSA","Male","0","No","No",22,"Yes","Yes","DSL","Yes","Yes","No","No","No","No","Month-to-month","No","Electronic check",59,1254.7,"Yes"
"7279-NMVJC","Female","0","No","No",17,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Bank transfer (automatic)",19.9,323.15,"No"
"5387-ASZNZ","Female","1","No","No",66,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","One year","Yes","Credit card (automatic)",63.85,4174.35,"No"
"3058-WQDRE","Male","0","No","No",13,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",25.15,331.85,"No"
"3400-ESFUW","Male","0","Yes","Yes",55,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Two year","No","Bank transfer (automatic)",57.55,3046.4,"Yes"
"5360-XGYAZ","Male","0","Yes","Yes",72,"No","No phone service","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",65.65,4664.5,"No"
"5062-CJJKH","Male","0","Yes","Yes",25,"Yes","No","DSL","No","Yes","Yes","No","No","No","One year","No","Mailed check",53.65,1355.45,"No"
"6161-UUUTA","Male","1","No","No",3,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",79.9,260.9,"Yes"
"4329-YPDDQ","Male","0","No","No",20,"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",108.2,2203.7,"No"
"1112-CUNAO","Female","1","No","No",15,"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","No","Electronic check",89.85,1424.95,"Yes"
"6377-KSLXC","Male","0","No","No",5,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.95,107.05,"No"
"2990-IAJSV","Male","0","No","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",92,6632.75,"No"
"7480-SPLEF","Male","0","Yes","Yes",69,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",26,1796.55,"No"
"5301-GAUUY","Male","0","No","No",32,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",80.35,2596.15,"Yes"
"6968-URWQU","Male","0","Yes","No",43,"Yes","No","DSL","No","No","No","No","Yes","No","One year","Yes","Mailed check",56.35,2391.15,"No"
"3807-BPOMJ","Female","0","Yes","No",55,"Yes","No","Fiber optic","Yes","No","No","No","Yes","Yes","One year","Yes","Electronic check",94.75,5276.1,"No"
"3585-ISXZP","Female","0","No","No",8,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Bank transfer (automatic)",95.65,778.1,"Yes"
"6502-MJQAE","Male","0","No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.6,69.6,"Yes"
"9497-QCMMS","Male","1","No","No",1,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",93.55,93.55,"Yes"
"2344-JMOGN","Male","0","Yes","No",9,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","No","Month-to-month","Yes","Mailed check",94.85,890.6,"Yes"
"8849-AYPTR","Male","0","Yes","No",33,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Electronic check",91.25,2964.05,"No"
